grant_year,Chemical,Computers and communications,Drugs and medical,Electrical and electronic,Mechanical
1980,0.1250111163340236,0.1303381975563981,0.2785213167835941,0.0972722087832123,0.0877144877548958
1981,0.1152212647220323,0.1309137015611379,0.2695728165321544,0.0924781511683182,0.0863667724575686
1982,0.1273816755950737,0.1213077872124247,0.2754204682862482,0.0930837622835751,0.0917224880382775
1983,0.119938520245919,0.1238961233348301,0.2835287814750878,0.0942928999806539,0.0896878947530579
1984,0.1178003586371787,0.1170291131537648,0.252073432112571,0.0834264490643836,0.0806278703495374
1985,0.1153184365335875,0.1089382388686333,0.252444718527002,0.0803844094191886,0.076758552293556
1986,0.1230953715410383,0.1050062643558154,0.2366875566591778,0.080342152492329,0.0760038921587241
1987,0.1163966663545275,0.0910103141115799,0.2161372052231533,0.0678660295510096,0.0715528627434537
1988,0.11744950513849,0.0917159186221155,0.2186668440659925,0.0734561536454774,0.0732524340036523
1989,0.1071278968953659,0.0810288258729786,0.1934173396905711,0.0675012774655084,0.0698100617463793
1990,0.1088798305558885,0.0852209194594421,0.1968834585515165,0.0693500194864244,0.0716943836542049
1991,0.1041043359052973,0.0803333530700455,0.1869201382572312,0.0652098307442615,0.0683379501385041
1992,0.102783070817964,0.0763857473588972,0.1840718868165017,0.0645146290199579,0.0685114766115361
1993,0.0999359651384234,0.0713579988608757,0.1767930029154518,0.0636730969760166,0.0703204812894926
1994,0.0991645194034512,0.0653760995751301,0.1709187989997932,0.0613648356511821,0.0715091664818261
1995,0.1043888600965603,0.0608835441239164,0.1687611893144241,0.0588012108980827,0.07379986407727
1996,0.1019005808087693,0.0537055244446344,0.1573406446921958,0.0566389296297404,0.0701575178997613
1997,0.1022958520470824,0.0533224802886174,0.139175444311724,0.0561415837273428,0.0709440170319833
1998,0.0950602626912326,0.0415009310821441,0.1236807078716982,0.0487107488956614,0.062055596479665
1999,0.0906401446654611,0.0403677915439454,0.1224866277937945,0.0449727405026173,0.0598877794468498
2000,0.0887961203512813,0.0397062130591774,0.1249683858290694,0.0417403486771527,0.0572950995968944
2001,0.08708193265341,0.0381537790063286,0.1204750152540366,0.0386861249191454,0.0548002274801285
2002,0.0880658790448112,0.0377699033629988,0.1202556086796616,0.0374835516009775,0.0551585318076814
2003,0.0868950549828441,0.0368535312206914,0.117653581725438,0.0364654234967175,0.0541178933868994
2004,0.0899399833381505,0.0346695887742367,0.1330613876284297,0.0355384541847904,0.0563222495291308
2005,0.1030889830967895,0.0358215143543406,0.1427520746024257,0.0384895160850351,0.0602381376085936
2006,0.1002221529347572,0.0295276714832371,0.131870911369411,0.0349276457255768,0.0541030017902493
2007,0.1009755138775383,0.0312765833478995,0.1354092858474734,0.0356330331909848,0.0587171602912358
2008,0.1031306971773433,0.0298486173719975,0.1429474320573768,0.0356334818234084,0.0605014719317835
2009,0.1011222224485223,0.0282348116526344,0.1336009033556717,0.0334855577556244,0.0628717520609412
2010,0.0843809551947764,0.0248180013236267,0.108425903069201,0.0291861215329058,0.0548964954621163
