grant_year,Chemical,Computers and communications,Drugs and medical,Electrical and electronic,Mechanical
1980,2.888940179672256,2.8553399551788456,2.913293680681833,2.8448924404821008,2.8930016897391164
1981,3.380402941009912,3.33743901472965,3.3136860389273948,3.350419294817184,3.401467051510492
1982,3.7142293906950945,3.8073279505282698,3.7237878007999043,3.747284292375197,3.8172116395713025
1983,4.131195047834512,4.097337744626012,4.074968777739792,4.086562510120795,4.242209311647091
1984,4.579471892939559,4.485838518824987,4.5121513843507,4.477337318065968,4.698832306622054
1985,4.958893171306561,4.718122710648352,4.939164819964214,4.8263530932358005,5.069356864394354
1986,5.28570635736976,4.972176760025109,5.198611210122531,5.075998610899956,5.365305557006452
1987,5.631444862179476,5.042963133434126,5.570570682394901,5.279265011530111,5.649777629477312
1988,6.000870901630944,5.151091116605331,5.65463763747659,5.473240280099439,5.839777225602007
1989,6.321570024294788,5.224582101315913,5.932799993759807,5.687194060312942,6.123276946915485
1990,6.666300636976202,5.319684355394947,6.120978134510743,5.90829668484878,6.389941788364517
1991,6.911727151525327,5.4289009145542835,6.312137985395091,5.934337847947498,6.5555860798143275
1992,7.09375228024096,5.632682847078546,6.479992009287663,6.102146640410819,6.907385474640175
1993,7.352549605196299,5.734721802763539,6.59353704699229,6.356716631441841,7.1735181725788975
1994,7.687486836413765,5.840793675125846,6.803986192434703,6.60854753504296,7.475480894713515
1995,7.907029555916445,5.903181410667912,7.164343621056689,6.8667833412710175,7.799391824951909
1996,8.193306165818965,6.032220448174875,7.458851403096473,7.0263910309897915,8.093687841294777
1997,8.54977287327942,6.199730526502913,7.80554827618093,7.194825446995029,8.469026304156598
1998,8.763602750610593,6.050365304468646,7.739765509012675,7.352098800852691,8.674745829198955
1999,9.005882500174662,5.927639015137798,7.763410327330011,7.376630732465463,8.878786439088381
2000,9.150632124971452,5.9719137182212405,7.97211979075072,7.282339446925607,9.065165924680066
2001,9.383267595526627,6.063227741427569,8.062036707452943,7.262988201854866,9.184104393504162
2002,9.564727986139637,6.103126206590294,8.242979192692557,7.238941034256623,9.230628079917118
2003,9.765518425630715,6.277156570975404,8.52858539940189,7.433553809797693,9.423980662417023
2004,10.062707119480512,6.454052704928742,8.91158704460102,7.635096101431836,9.701210241181382
2005,10.55904053191858,6.758191849962545,9.4574544103676,8.021547543363411,10.119748362655029
2006,11.023694137937072,7.143086659684931,10.014167759823291,8.322281096232027,10.468940080900646
2007,11.45259214181084,7.422469202322716,10.431730126931901,8.576762845545751,10.863422539647308
2008,12.028322327317477,7.774600889584101,10.933368054520933,8.960814371987318,11.273709232126969
2009,12.520041274309172,8.102208738947967,11.427816705020655,9.430767358921914,11.912236968448443
2010,13.221860003701844,8.524319670618615,12.16162982694228,9.846757184850853,12.575985885808272
